coil_type,turns1,turns2,r1,r2,wire_d,pitch1,pitch2,Lcore,Lpri,Lsec,L
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00099904700977533,0.00121382382121833,0.0069685844687039,5.51624976866079e-06,2.4199977919122e-05,2.97162276877828e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.0019215662023119,0.00188816929358562,0.00634510893989205,5.02077965950522e-06,1.94547805537332e-05,2.44755602132384e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00185241293136395,0.00115134302215642,0.00728641383043217,5.15051183327944e-06,2.4418900234119e-05,2.95694120673984e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00166925418911997,0.00129475690007553,0.00557796668203773,5.20155229833966e-06,1.78086632881182e-05,2.30102155864578e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.0014556677857246,0.00101524543121241,0.00777846934884428,5.34460558900336e-06,2.66797325460627e-05,3.20243381350661e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00179458979997238,0.00149404580333374,0.00583924419758122,5.12148952524007e-06,1.80900040212308e-05,2.32114935464709e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000874451250716962,0.00198128075184817,0.00614483008016846,5.38143751716144e-06,2.0466391438281e-05,2.58478289554425e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00172292812775225,0.00144744149863678,0.00532965746049638,5.155978284453e-06,1.66158416936395e-05,2.17718199780925e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000856930729515726,0.00118011087120927,0.00545888900661113,5.59776935215559e-06,1.71772102100975e-05,2.27749795622531e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.0017348851816824,0.00151017330127808,0.00671089228670822,5.14176787269401e-06,2.28272628792634e-05,2.79690307519574e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00103687526214175,0.00093335544126166,0.00573687016015555,5.56780548094087e-06,1.88398005883521e-05,2.4407606069293e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00180195437919935,0.00186431212247975,0.00763295079785012,5.06422833982704e-06,2.58431636465001e-05,3.09073919863271e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00186273509338545,0.00135991155238486,0.0051288538696987,5.11481362291049e-06,1.5384508385839e-05,2.04993220087495e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000902585714075041,0.00128661052143533,0.00626548615573953,5.54595248231718e-06,2.13306611430792e-05,2.68766136253963e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00135182768847869,0.00143663740509234,0.00606360709051766,5.30716155630484e-06,1.96692068101041e-05,2.49763683664089e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00195947528587104,0.00146324019349371,0.00515098894174232,5.06391449062004e-06,1.52070825221871e-05,2.02709970128071e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00137549216280608,0.000831163494525477,0.00550844993835026,5.42325098133861e-06,1.6983085697192e-05,2.24063366785307e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00177253842869433,0.00154488234910229,0.00639485613205086,5.12231564349844e-06,2.13073527202421e-05,2.64296683637405e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00156310712737048,0.0010398640177374,0.00659844638158032,5.29167964831392e-06,2.11071828238117e-05,2.63988624721256e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00117506475882543,0.00158955217590112,0.00635412078586552,5.34903589014849e-06,2.09401184972393e-05,2.62891543873878e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00104110346492817,0.00177084761208605,0.00679462233164277,5.363232661831e-06,2.28031605446746e-05,2.81663932065056e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.000962735703352602,0.00172882977428158,0.00680599989554709,5.40648891620499e-06,2.33154337244833e-05,2.87219226406883e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00169288075275541,0.00140286096480185,0.00510341878772844,5.17470069711803e-06,1.5498851348952e-05,2.067355204607e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.0012217557277103,0.00137931686641418,0.0065481033895403,5.3746094797876e-06,2.27209393276358e-05,2.80955488074234e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00144453755142918,0.000985605061564999,0.00793604854914263,5.35585576627124e-06,2.72837947803771e-05,3.26396505466483e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00141758048830777,0.00168905146145604,0.00674404112723273,5.23197947702501e-06,2.21336422188804e-05,2.73656216959054e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00154908648047466,0.0010557613180908,0.00709528180375461,5.29477155346303e-06,2.3805658168978e-05,2.91004297224411e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00177972070919228,0.00133396909467037,0.00592070636422373,5.15107051471016e-06,1.96818419700629e-05,2.4832912484773e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.00193773527704047,0.00109468464768203,0.00751129863404113,5.12575115790768e-06,2.50054975361996e-05,3.01312486941073e-05
bobinaL1,2,1.5,0.006,0.0075,0.00075,0.0012851236543777,0.000949530361370014,0.00746385757897427,5.4388062199753e-06,2.60012222669468e-05,3.14400284869221e-05
